,precision,recall,f1-score,support
ARP_poisioning,0.98658756770699,0.9870967741935484,0.9868421052631579,7750.0
DDOS_Slowloris,0.9925093632958801,0.9925093632958801,0.9925093632958801,534.0
DOS_SYN_Hping,0.9999894358757659,1.0,0.9999947179099826,94659.0
MQTT_Publish,0.999517024873219,0.9983116256632899,0.9989139616266441,4146.0
Metasploit_Brute_Force_SSH,0.6818181818181818,0.8108108108108109,0.7407407407407407,37.0
NMAP_FIN_SCAN,0.8888888888888888,0.8571428571428571,0.8727272727272727,28.0
NMAP_OS_DETECTION,0.9995002498750625,1.0,0.9997500624843789,2000.0
NMAP_TCP_scan,0.9990029910269193,1.0,0.9995012468827931,1002.0
NMAP_UDP_SCAN,0.9922660479505027,0.9907335907335907,0.991499227202473,2590.0
NMAP_XMAS_TREE_SCAN,0.9965226030799801,0.9980099502487563,0.9972657220979368,2010.0
Thing_Speak,0.9882773938795657,0.9877898371978293,0.9880335553910683,8108.0
Wipro_bulb,0.94,0.9288537549407114,0.9343936381709742,253.0
accuracy,0.9978313311727869,0.9978313311727869,0.9978313311727869,0.9978313311727869
macro avg,0.9554066456892462,0.9626048803522728,0.9585143011494419,123117.0
weighted avg,0.9978469383574242,0.9978313311727869,0.9978372808479979,123117.0
