,precision,recall,f1-score,support
ARP_poisioning,0.9180064308681672,0.07367741935483871,0.13640707118967987,7750.0
DDOS_Slowloris,0.2906610703043022,0.5187265917602997,0.3725622057834566,534.0
DOS_SYN_Hping,0.9748462766016807,0.9228388214538501,0.9481298977576139,94659.0
MQTT_Publish,0.9973096583266075,0.8941148094548963,0.9428971130611726,4146.0
Metasploit_Brute_Force_SSH,0.02111024237685692,0.7297297297297297,0.041033434650455926,37.0
NMAP_FIN_SCAN,0.0007533524182612626,0.17857142857142858,0.0015003750937734434,28.0
NMAP_OS_DETECTION,0.1823074018126888,0.9655,0.306702668360864,2000.0
NMAP_TCP_scan,0.9163602941176471,0.9950099800399201,0.9540669856459331,1002.0
NMAP_UDP_SCAN,0.13473684210526315,0.02471042471042471,0.04176182707993475,2590.0
NMAP_XMAS_TREE_SCAN,0.09782886334610473,0.19054726368159203,0.12928270042194093,2010.0
Thing_Speak,0.8477463312368972,0.3989886531820424,0.5426031533042603,8108.0
Wipro_bulb,0.16183574879227053,0.2648221343873518,0.20089955022488756,253.0
accuracy,0.801018543336826,0.801018543336826,0.801018543336826,0.801018543336826
macro avg,0.46195854269222897,0.5131031046938644,0.38482058188116436,123117.0
weighted avg,0.913166081992656,0.801018543336826,0.8228238054801905,123117.0
