,precision,recall,f1-score,support
ARP_poisioning,0.9876986160943106,0.9945806451612903,0.9911276841969912,7750.0
DDOS_Slowloris,0.9790874524714829,0.9644194756554307,0.9716981132075472,534.0
DOS_SYN_Hping,1.0,1.0,1.0,94659.0
MQTT_Publish,0.9997585707387735,0.9987940183309214,0.9992760617760618,4146.0
Metasploit_Brute_Force_SSH,0.8787878787878788,0.7837837837837838,0.8285714285714286,37.0
NMAP_FIN_SCAN,0.8888888888888888,0.8571428571428571,0.8727272727272727,28.0
NMAP_OS_DETECTION,1.0,1.0,1.0,2000.0
NMAP_TCP_scan,1.0,0.998003992015968,0.999000999000999,1002.0
NMAP_UDP_SCAN,0.9918541505042668,0.9872586872586873,0.9895510835913313,2590.0
NMAP_XMAS_TREE_SCAN,0.9995017438963627,0.9980099502487563,0.9987552900174259,2010.0
Thing_Speak,0.9933275670332387,0.9914898865318205,0.9924078760570335,8108.0
Wipro_bulb,0.9798387096774194,0.9604743083003953,0.9700598802395209,253.0
accuracy,0.998408018389012,0.998408018389012,0.998408018389012,0.998408018389012
macro avg,0.9748952981743852,0.9611631337024925,0.9677646407821343,123117.0
weighted avg,0.9984047687251096,0.998408018389012,0.9984041282097775,123117.0
