,precision,recall,f1-score,support
ARP_poisioning,0.98327328872877,0.9860645161290322,0.9846669243654168,7750.0
DDOS_Slowloris,0.9849340866290018,0.9794007490636704,0.9821596244131455,534.0
DOS_SYN_Hping,0.9999894358757659,1.0,0.9999947179099826,94659.0
MQTT_Publish,0.9992757122163206,0.9983116256632899,0.9987934362934363,4146.0
Metasploit_Brute_Force_SSH,0.8333333333333334,0.8108108108108109,0.821917808219178,37.0
NMAP_FIN_SCAN,0.8275862068965517,0.8571428571428571,0.8421052631578947,28.0
NMAP_OS_DETECTION,0.9995002498750625,1.0,0.9997500624843789,2000.0
NMAP_TCP_scan,0.9970059880239521,0.9970059880239521,0.9970059880239521,1002.0
NMAP_UDP_SCAN,0.991495941244685,0.9903474903474904,0.9909213830403709,2590.0
NMAP_XMAS_TREE_SCAN,0.9975136747886624,0.9980099502487563,0.9977617508082567,2010.0
Thing_Speak,0.9871573227957521,0.9859398125308337,0.9865481920276441,8108.0
Wipro_bulb,0.9717741935483871,0.9525691699604744,0.9620758483033932,253.0
accuracy,0.9976039052283601,0.9976039052283601,0.9976039052283601,0.9976039052283601
macro avg,0.9644032861630204,0.9629669141600973,0.9636417499205875,123117.0
weighted avg,0.9976041778839807,0.9976039052283601,0.9976035393633989,123117.0
