,precision,recall,f1-score,support
ARP_poisioning,0.5151515151515151,0.006580645161290323,0.012995286023697285,7750.0
DDOS_Slowloris,0.4215686274509804,0.16104868913857678,0.23306233062330622,534.0
DOS_SYN_Hping,0.9778573791624363,0.9055451673903169,0.940313079344881,94659.0
MQTT_Publish,0.748290273556231,0.9500723589001447,0.8371944739638683,4146.0
Metasploit_Brute_Force_SSH,0.0,0.0,0.0,37.0
NMAP_FIN_SCAN,0.0017124509454156261,0.8571428571428571,0.0034180730613116855,28.0
NMAP_OS_DETECTION,0.3550209586294879,0.974,0.520368638974222,2000.0
NMAP_TCP_scan,0.9172033118675254,0.9950099800399201,0.9545236955481091,1002.0
NMAP_UDP_SCAN,0.8472622478386167,0.11351351351351352,0.20020429009193055,2590.0
NMAP_XMAS_TREE_SCAN,0.4296028880866426,0.5920398009950248,0.497907949790795,2010.0
Thing_Speak,0.7183506559890952,0.519980266403552,0.6032768119052729,8108.0
Wipro_bulb,0.275092936802974,0.2924901185770751,0.2835249042145594,253.0
accuracy,0.8003525102138616,0.8003525102138616,0.8003525102138616,0.8003525102138616
macro avg,0.5172594371234099,0.5306186164385226,0.42389912779516276,123117.0
weighted avg,0.8972276717341056,0.8003525102138616,0.8218602047405555,123117.0
