,precision,recall,f1-score,support
ARP_poisioning,0.9856722527823973,0.9941935483870967,0.9899145628573264,7750.0
DDOS_Slowloris,0.9886792452830189,0.9812734082397003,0.9849624060150376,534.0
DOS_SYN_Hping,1.0,1.0,1.0,94659.0
MQTT_Publish,1.0,0.9987940183309214,0.9993966453481357,4146.0
Metasploit_Brute_Force_SSH,0.9090909090909091,0.8108108108108109,0.8571428571428571,37.0
NMAP_FIN_SCAN,0.8888888888888888,0.8571428571428571,0.8727272727272727,28.0
NMAP_OS_DETECTION,1.0,1.0,1.0,2000.0
NMAP_TCP_scan,1.0,0.998003992015968,0.999000999000999,1002.0
NMAP_UDP_SCAN,0.9957264957264957,0.9895752895752896,0.9926413632842758,2590.0
NMAP_XMAS_TREE_SCAN,0.9995017438963627,0.9980099502487563,0.9987552900174259,2010.0
Thing_Speak,0.9933176587056057,0.990009866798224,0.991661004385694,8108.0
Wipro_bulb,0.9879032258064516,0.9683794466403162,0.9780439121756487,253.0
accuracy,0.9984323854544864,0.9984323854544864,0.9984323854544864,0.9984323854544864
macro avg,0.9790650350150109,0.9655160990158285,0.972020526079556,123117.0
weighted avg,0.9984334344619132,0.9984323854544864,0.9984301739491726,123117.0
