,pred_ARP_poisioning,pred_DDOS_Slowloris,pred_DOS_SYN_Hping,pred_MQTT_Publish,pred_Metasploit_Brute_Force_SSH,pred_NMAP_FIN_SCAN,pred_NMAP_OS_DETECTION,pred_NMAP_TCP_scan,pred_NMAP_UDP_SCAN,pred_NMAP_XMAS_TREE_SCAN,pred_Thing_Speak,pred_Wipro_bulb
actual_ARP_poisioning,51,10,1759,1004,37,1964,1105,87,20,371,1202,140
actual_DDOS_Slowloris,7,86,2,280,0,0,0,0,0,1,150,8
actual_DOS_SYN_Hping,0,0,85718,0,0,7832,605,0,0,504,0,0
actual_MQTT_Publish,0,1,0,3939,0,9,0,0,0,0,190,7
actual_Metasploit_Brute_Force_SSH,0,0,2,1,0,2,0,0,0,2,28,2
actual_NMAP_FIN_SCAN,0,0,1,0,0,24,2,0,0,0,1,0
actual_NMAP_OS_DETECTION,0,0,52,0,0,0,1948,0,0,0,0,0
actual_NMAP_TCP_scan,0,0,0,0,0,0,0,997,2,0,3,0
actual_NMAP_UDP_SCAN,34,103,3,0,1,458,1051,2,294,634,6,4
actual_NMAP_XMAS_TREE_SCAN,0,0,59,0,0,10,750,0,0,1190,1,0
actual_Thing_Speak,7,4,57,37,9,3626,23,1,28,66,4216,34
actual_Wipro_bulb,0,0,6,3,0,90,3,0,3,2,72,74
