feature,score
fwd_URG_flag_count,120865.9910447776
service,118569.26483358745
fwd_last_window_size,83043.39971611639
proto,74664.55499570646
fwd_init_window_size,70006.28113978876
bwd_init_window_size,33725.530111947875
id.resp_p,21819.334169487767
idle.min,13394.63762177298
idle.avg,13190.243325294712
idle.max,13083.348544644494
fwd_iat.max,13020.790517027828
flow_iat.max,12988.338170033025
payload_bytes_per_second,12036.924642929833
bwd_pkts_payload.std,10761.304118744865
bwd_pkts_per_sec,10351.065258541772
flow_pkts_per_sec,10345.248537674763
fwd_pkts_per_sec,10339.444050629969
bwd_pkts_payload.avg,10038.582779540016
flow_FIN_flag_count,9052.49852574251
fwd_pkts_payload.std,8210.759162438606
bwd_pkts_payload.max,7935.273062663112
flow_iat.std,7615.559459549447
fwd_iat.std,6205.607309252818
bwd_header_size_max,4114.302639211538
flow_iat.avg,3615.2935097972554
bwd_header_size_min,3074.085111311918
id.orig_p,2846.7565886732937
fwd_header_size_max,2503.9996750017617
bwd_pkts_payload.min,2420.000774493691
fwd_pkts_payload.min,2237.504667487416
fwd_header_size_min,2041.3053686392868
flow_pkts_payload.max,1823.9409910716536
flow_SYN_flag_count,1652.0052837127093
fwd_pkts_payload.max,1594.6572593895846
bwd_iat.max,1493.156122545311
flow_pkts_payload.std,1459.0994717033004
fwd_iat.avg,1453.883162310115
bwd_bulk_rate,1424.646959477041
fwd_pkts_payload.avg,1337.6547705895996
fwd_iat.tot,1158.8005353951387
flow_iat.tot,1150.5906549615395
flow_duration,1150.5022092635509
idle.tot,1085.9246653558378
flow_RST_flag_count,1042.4487606144432
flow_pkts_payload.avg,880.9648458821831
bwd_iat.std,800.7294274120288
flow_ECE_flag_count,788.843669618016
active.tot,778.7471336707541
bwd_iat.tot,727.0907579000877
flow_CWR_flag_count,726.4534596462081
bwd_iat.avg,706.3984422773724
idle.std,577.5503120142643
active.min,549.8634355941617
down_up_ratio,526.6985644534705
fwd_subflow_pkts,447.09301014361574
flow_pkts_payload.min,433.3743809632592
active.avg,374.0899645072487
fwd_PSH_flag_count,320.9326395805447
fwd_header_size_tot,243.31871702636465
fwd_pkts_payload.tot,240.9141917613286
fwd_pkts_tot,237.47724843065347
bwd_PSH_flag_count,233.70068312356915
active.max,203.95282523668376
bwd_iat.min,202.77775887713952
fwd_data_pkts_tot,190.8919577652998
fwd_bulk_rate,147.84089769176148
flow_iat.min,128.38107350386198
fwd_subflow_bytes,126.87174799187153
active.std,110.94835947600102
fwd_bulk_packets,89.68649365161572
flow_ACK_flag_count,77.8294637761804
bwd_subflow_bytes,71.63660613129436
fwd_bulk_bytes,70.43714356374284
bwd_subflow_pkts,62.36675033525114
bwd_data_pkts_tot,59.21996838647498
bwd_header_size_tot,39.00315234263273
bwd_pkts_tot,38.981956583508364
flow_pkts_payload.tot,35.02079883762651
bwd_pkts_payload.tot,31.51562279988657
fwd_iat.min,31.342154198798866
bwd_bulk_packets,20.009397277702444
bwd_bulk_bytes,19.61234736100813
bwd_URG_flag_count,0.0
