feature,information_gain_rank,chi_square_rank,relieff_rank,average_rank,selected_top_k
fwd_init_window_size,10,5,5,6.666666666666667,True
id.resp_p,8,7,8,7.666666666666667,True
fwd_last_window_size,9,3,17,9.666666666666666,True
fwd_pkts_payload.max,2,34,6,14.0,True
payload_bytes_per_second,25,13,7,15.0,True
fwd_pkts_per_sec,20,17,10,15.666666666666666,True
flow_pkts_per_sec,21,16,11,16.0,True
bwd_pkts_per_sec,22,15,13,16.666666666666668,True
flow_iat.max,16,12,24,17.333333333333332,True
fwd_pkts_payload.avg,1,39,12,17.333333333333332,True
service,53,2,1,18.666666666666668,True
fwd_pkts_payload.min,13,30,15,19.333333333333332,True
flow_pkts_payload.max,7,32,20,19.666666666666668,True
flow_pkts_payload.std,11,36,14,20.333333333333332,True
flow_pkts_payload.avg,6,45,16,22.333333333333332,True
flow_SYN_flag_count,26,33,9,22.666666666666668,True
fwd_iat.max,38,11,23,24.0,True
fwd_URG_flag_count,72,1,2,25.0,True
fwd_header_size_max,28,28,22,26.0,True
fwd_header_size_min,30,31,21,27.333333333333332,True
id.orig_p,55,27,3,28.333333333333332,True
flow_iat.avg,23,25,37,28.333333333333332,True
bwd_pkts_payload.max,37,21,28,28.666666666666668,True
bwd_pkts_payload.std,44,14,30,29.333333333333332,True
flow_FIN_flag_count,66,19,4,29.666666666666668,True
bwd_header_size_max,32,24,34,30.0,False
bwd_pkts_payload.avg,36,18,38,30.666666666666668,False
fwd_pkts_payload.std,58,20,18,32.0,False
flow_iat.std,46,22,31,33.0,False
flow_iat.tot,15,41,47,34.333333333333336,False
bwd_init_window_size,65,6,32,34.333333333333336,False
flow_duration,14,42,48,34.666666666666664,False
idle.min,69,8,27,34.666666666666664,False
idle.max,70,10,25,35.0,False
idle.avg,71,9,26,35.333333333333336,False
bwd_header_size_min,47,26,33,35.333333333333336,False
fwd_subflow_bytes,3,68,41,37.333333333333336,False
fwd_iat.std,59,23,36,39.333333333333336,False
bwd_iat.max,45,35,40,40.0,False
fwd_iat.avg,41,37,44,40.666666666666664,False
fwd_pkts_payload.tot,5,60,59,41.333333333333336,False
flow_RST_flag_count,62,44,19,41.666666666666664,False
active.tot,18,48,60,42.0,False
active.min,24,53,50,42.333333333333336,False
fwd_header_size_tot,12,59,57,42.666666666666664,False
fwd_iat.tot,39,40,49,42.666666666666664,False
active.avg,19,57,54,43.333333333333336,False
bwd_iat.avg,48,51,42,47.0,False
active.max,17,63,61,47.0,False
fwd_subflow_pkts,49,55,39,47.666666666666664,False
down_up_ratio,56,54,35,48.333333333333336,False
flow_pkts_payload.min,61,56,29,48.666666666666664,False
fwd_data_pkts_tot,27,65,56,49.333333333333336,False
proto,63,4,82,49.666666666666664,False
bwd_iat.std,60,46,45,50.333333333333336,False
bwd_iat.tot,43,49,62,51.333333333333336,False
flow_pkts_payload.tot,4,78,75,52.333333333333336,False
flow_iat.min,31,67,64,54.0,False
idle.tot,68,43,52,54.333333333333336,False
bwd_pkts_payload.min,67,29,68,54.666666666666664,False
fwd_pkts_tot,51,61,55,55.666666666666664,False
fwd_PSH_flag_count,57,58,58,57.666666666666664,False
flow_CWR_flag_count,80,50,46,58.666666666666664,False
idle.std,74,52,51,59.0,False
bwd_header_size_tot,29,76,73,59.333333333333336,False
bwd_bulk_rate,75,38,65,59.333333333333336,False
flow_ACK_flag_count,40,71,70,60.333333333333336,False
bwd_subflow_bytes,33,72,76,60.333333333333336,False
flow_ECE_flag_count,81,47,53,60.333333333333336,False
bwd_subflow_pkts,42,74,66,60.666666666666664,False
bwd_pkts_tot,35,77,71,61.0,False
bwd_PSH_flag_count,64,62,63,63.0,False
fwd_bulk_packets,79,70,43,64.0,False
bwd_pkts_payload.tot,34,79,80,64.33333333333333,False
bwd_data_pkts_tot,52,75,74,67.0,False
bwd_iat.min,54,64,83,67.0,False
fwd_iat.min,50,80,77,69.0,False
active.std,73,69,67,69.66666666666667,False
fwd_bulk_rate,82,66,72,73.33333333333333,False
fwd_bulk_bytes,78,73,69,73.33333333333333,False
bwd_bulk_packets,77,81,78,78.66666666666667,False
bwd_bulk_bytes,76,82,79,79.0,False
bwd_URG_flag_count,83,83,81,82.33333333333333,False
