feature,transformed_feature,score
fwd_pkts_payload.avg,num__fwd_pkts_payload.avg,0.8631911918197714
fwd_pkts_payload.max,num__fwd_pkts_payload.max,0.8591845872181421
fwd_subflow_bytes,num__fwd_subflow_bytes,0.8531949268433467
flow_pkts_payload.tot,num__flow_pkts_payload.tot,0.849893688221065
fwd_pkts_payload.tot,num__fwd_pkts_payload.tot,0.8481273043981497
flow_pkts_payload.avg,num__flow_pkts_payload.avg,0.8467023063546304
flow_pkts_payload.max,num__flow_pkts_payload.max,0.8446050549292523
id.resp_p,num__id.resp_p,0.7980839713427803
fwd_last_window_size,num__fwd_last_window_size,0.7668879692812576
fwd_init_window_size,num__fwd_init_window_size,0.7004355659252439
flow_pkts_payload.std,num__flow_pkts_payload.std,0.6977446069204303
fwd_header_size_tot,num__fwd_header_size_tot,0.6939304803069994
fwd_pkts_payload.min,num__fwd_pkts_payload.min,0.6867126309101994
flow_duration,num__flow_duration,0.6722288827806568
flow_iat.tot,num__flow_iat.tot,0.6717962082840747
flow_iat.max,num__flow_iat.max,0.670929550872702
active.max,num__active.max,0.6685513358270578
active.tot,num__active.tot,0.6676465968873786
active.avg,num__active.avg,0.6663167808235759
fwd_pkts_per_sec,num__fwd_pkts_per_sec,0.6646044016758443
flow_pkts_per_sec,num__flow_pkts_per_sec,0.6633501260645833
bwd_pkts_per_sec,num__bwd_pkts_per_sec,0.6593532736091745
flow_iat.avg,num__flow_iat.avg,0.6564699121612865
active.min,num__active.min,0.6522774221607845
payload_bytes_per_second,num__payload_bytes_per_second,0.6514726445408543
flow_SYN_flag_count,num__flow_SYN_flag_count,0.6124745745095341
fwd_data_pkts_tot,num__fwd_data_pkts_tot,0.5991497124022704
fwd_header_size_max,num__fwd_header_size_max,0.5707730792865535
bwd_header_size_tot,num__bwd_header_size_tot,0.5474793884058962
fwd_header_size_min,num__fwd_header_size_min,0.520702590740934
flow_iat.min,num__flow_iat.min,0.5169586066707881
bwd_header_size_max,num__bwd_header_size_max,0.5129654290590699
bwd_subflow_bytes,num__bwd_subflow_bytes,0.5037782233347654
bwd_pkts_payload.tot,num__bwd_pkts_payload.tot,0.5033758747941204
bwd_pkts_tot,num__bwd_pkts_tot,0.5028356565363801
bwd_pkts_payload.avg,num__bwd_pkts_payload.avg,0.499632559892109
bwd_pkts_payload.max,num__bwd_pkts_payload.max,0.4983193993570101
fwd_iat.max,num__fwd_iat.max,0.4950469623860483
fwd_iat.tot,num__fwd_iat.tot,0.49500741251967906
flow_ACK_flag_count,num__flow_ACK_flag_count,0.4874608028387195
fwd_iat.avg,num__fwd_iat.avg,0.4871379133796294
bwd_subflow_pkts,num__bwd_subflow_pkts,0.48219460149575677
bwd_iat.tot,num__bwd_iat.tot,0.4752247198555881
bwd_pkts_payload.std,num__bwd_pkts_payload.std,0.4740199434883974
bwd_iat.max,num__bwd_iat.max,0.4740148574225411
flow_iat.std,num__flow_iat.std,0.4714605923144457
bwd_header_size_min,num__bwd_header_size_min,0.46969626764735284
bwd_iat.avg,num__bwd_iat.avg,0.4648324346846837
fwd_subflow_pkts,num__fwd_subflow_pkts,0.4574424568064084
fwd_iat.min,num__fwd_iat.min,0.4566695923120565
fwd_pkts_tot,num__fwd_pkts_tot,0.453889498099328
bwd_data_pkts_tot,num__bwd_data_pkts_tot,0.4393881178711445
service,cat__service_-,0.43587302348805146
bwd_iat.min,num__bwd_iat.min,0.4008496940866102
id.orig_p,num__id.orig_p,0.3955681978104548
down_up_ratio,num__down_up_ratio,0.37066668823512416
fwd_PSH_flag_count,num__fwd_PSH_flag_count,0.34311665875170316
fwd_pkts_payload.std,num__fwd_pkts_payload.std,0.31956907113460686
fwd_iat.std,num__fwd_iat.std,0.30428919941762356
bwd_iat.std,num__bwd_iat.std,0.2970159932718266
flow_pkts_payload.min,num__flow_pkts_payload.min,0.2906222385356645
flow_RST_flag_count,num__flow_RST_flag_count,0.28171061559102517
proto,cat__proto_tcp,0.2609191891558409
bwd_PSH_flag_count,num__bwd_PSH_flag_count,0.2507803967635085
bwd_init_window_size,num__bwd_init_window_size,0.24788993332184206
proto,cat__proto_udp,0.2420919484621964
flow_FIN_flag_count,num__flow_FIN_flag_count,0.19050454691968444
service,cat__service_dns,0.19017762824767326
bwd_pkts_payload.min,num__bwd_pkts_payload.min,0.17840778894250842
idle.tot,num__idle.tot,0.1751183354085304
idle.min,num__idle.min,0.17390928659529492
idle.max,num__idle.max,0.17254363396208627
idle.avg,num__idle.avg,0.17159106789704048
service,cat__service_mqtt,0.14556140651778948
fwd_URG_flag_count,num__fwd_URG_flag_count,0.08439388154437388
service,cat__service_http,0.07550850298266498
service,cat__service_ssl,0.04730994463374283
active.std,num__active.std,0.04331943479104838
idle.std,num__idle.std,0.02890903012757362
bwd_bulk_rate,num__bwd_bulk_rate,0.02229001234872663
bwd_bulk_bytes,num__bwd_bulk_bytes,0.021851306511680546
