feature,transformed_feature,score
service,cat__service_-,0.0933067996566385
fwd_URG_flag_count,num__fwd_URG_flag_count,0.0835948992638945
service,cat__service_mqtt,0.08304005362828892
id.orig_p,num__id.orig_p,0.07108987492827326
service,cat__service_ssl,0.06268081258572561
service,cat__service_ssh,0.05952380952380953
flow_FIN_flag_count,num__flow_FIN_flag_count,0.05091476558936205
fwd_init_window_size,num__fwd_init_window_size,0.048161158215286215
fwd_pkts_payload.max,num__fwd_pkts_payload.max,0.04706776607545577
payload_bytes_per_second,num__payload_bytes_per_second,0.04630514919261325
id.resp_p,num__id.resp_p,0.03365283203113695
flow_SYN_flag_count,num__flow_SYN_flag_count,0.027739863194698223
fwd_pkts_per_sec,num__fwd_pkts_per_sec,0.0276190252013627
flow_pkts_per_sec,num__flow_pkts_per_sec,0.027529050089804972
fwd_pkts_payload.avg,num__fwd_pkts_payload.avg,0.027440620911332505
bwd_pkts_per_sec,num__bwd_pkts_per_sec,0.02743933642386845
flow_pkts_payload.std,num__flow_pkts_payload.std,0.026066133630121252
fwd_pkts_payload.min,num__fwd_pkts_payload.min,0.02599102711074336
flow_pkts_payload.avg,num__flow_pkts_payload.avg,0.02388222122730971
fwd_last_window_size,num__fwd_last_window_size,0.020504659133089895
fwd_pkts_payload.std,num__fwd_pkts_payload.std,0.02033494141909215
flow_RST_flag_count,num__flow_RST_flag_count,0.017774982690806473
flow_pkts_payload.max,num__flow_pkts_payload.max,0.016191543013278208
fwd_header_size_min,num__fwd_header_size_min,0.016089215967461306
fwd_header_size_max,num__fwd_header_size_max,0.015650262640489337
fwd_iat.max,num__fwd_iat.max,0.015598423594663827
flow_iat.max,num__flow_iat.max,0.015551832902315021
idle.max,num__idle.max,0.015026518460865798
idle.avg,num__idle.avg,0.014246472749412702
service,cat__service_irc,0.014060356652949246
idle.min,num__idle.min,0.013883363455593122
bwd_pkts_payload.max,num__bwd_pkts_payload.max,0.011085155325783934
flow_pkts_payload.min,num__flow_pkts_payload.min,0.01087217837306525
bwd_pkts_payload.std,num__bwd_pkts_payload.std,0.00971185159657281
flow_iat.std,num__flow_iat.std,0.009481416260753786
bwd_init_window_size,num__bwd_init_window_size,0.009397020520838061
bwd_header_size_min,num__bwd_header_size_min,0.009133860309946602
bwd_header_size_max,num__bwd_header_size_max,0.009016814866276705
down_up_ratio,num__down_up_ratio,0.008833268037591338
fwd_iat.std,num__fwd_iat.std,0.007625061168384132
flow_iat.avg,num__flow_iat.avg,0.006757525180712911
bwd_pkts_payload.avg,num__bwd_pkts_payload.avg,0.0063567946890755464
fwd_subflow_pkts,num__fwd_subflow_pkts,0.005768570767865782
bwd_iat.max,num__bwd_iat.max,0.004576886347001878
fwd_subflow_bytes,num__fwd_subflow_bytes,0.0037695585310812602
bwd_iat.avg,num__bwd_iat.avg,0.003430195375463402
fwd_bulk_packets,num__fwd_bulk_packets,0.00335473853476579
fwd_iat.avg,num__fwd_iat.avg,0.0028584083137488917
bwd_iat.std,num__bwd_iat.std,0.0027640186239233137
flow_CWR_flag_count,num__flow_CWR_flag_count,0.0021269772575338865
flow_iat.tot,num__flow_iat.tot,0.0021113841145089882
flow_duration,num__flow_duration,0.0021111829996250334
fwd_iat.tot,num__fwd_iat.tot,0.002105821805044011
active.min,num__active.min,0.0020593385352309247
idle.std,num__idle.std,0.00199707436143564
idle.tot,num__idle.tot,0.001979728949659768
flow_ECE_flag_count,num__flow_ECE_flag_count,0.0018715897551165267
active.avg,num__active.avg,0.001719634127480551
fwd_pkts_tot,num__fwd_pkts_tot,0.0016697315980828858
fwd_data_pkts_tot,num__fwd_data_pkts_tot,0.0014596048636416102
fwd_header_size_tot,num__fwd_header_size_tot,0.0013945873089051483
fwd_PSH_flag_count,num__fwd_PSH_flag_count,0.0013119129656818304
fwd_pkts_payload.tot,num__fwd_pkts_payload.tot,0.0013018041650836607
active.tot,num__active.tot,0.0012334794870134133
active.max,num__active.max,0.0012027270347932
bwd_iat.tot,num__bwd_iat.tot,0.0011712987259807665
bwd_PSH_flag_count,num__bwd_PSH_flag_count,0.0007588237553527214
flow_iat.min,num__flow_iat.min,0.0006486439938254914
bwd_bulk_rate,num__bwd_bulk_rate,0.0004479684749680715
