,count,mean,std,min,25%,50%,75%,max
id.orig_p,123117.0,34639.25873762356,19070.620353711704,0.0,17702.0,37221.0,50971.0,65535.0
id.resp_p,123117.0,1014.3050919044487,5256.371993863054,0.0,21.0,21.0,21.0,65389.0
flow_duration,123117.0,3.809565769999269,130.0054075187568,0.0,1e-06,4e-06,5e-06,21728.335578
fwd_pkts_tot,123117.0,2.2688255886676902,22.336564997056584,0.0,1.0,1.0,1.0,4345.0
bwd_pkts_tot,123117.0,1.9095088411835897,33.01831059054766,0.0,1.0,1.0,1.0,10112.0
fwd_data_pkts_tot,123117.0,1.4712184344972667,19.635195816888558,0.0,1.0,1.0,1.0,4345.0
bwd_data_pkts_tot,123117.0,0.8202604027063687,32.29394834281348,0.0,0.0,0.0,0.0,10105.0
fwd_pkts_per_sec,123117.0,351806.3276652226,370764.49315168493,0.0,74.543538,246723.764706,524288.0,1048576.0
bwd_pkts_per_sec,123117.0,351761.9603399662,370801.4847324279,0.0,72.889275,246723.764706,524288.0,1048576.0
flow_pkts_per_sec,123117.0,703568.2880052057,741563.422207618,0.0,149.087077,493447.529412,1048576.0,2097152.0
down_up_ratio,123117.0,0.8545705858735998,0.3376402816668707,0.0,1.0,1.0,1.0,6.087899
fwd_header_size_tot,123117.0,53.89237879415516,393.0271947233303,0.0,20.0,20.0,20.0,69296.0
fwd_header_size_min,123117.0,19.77939683390596,5.347868546646381,0.0,20.0,20.0,20.0,44.0
fwd_header_size_max,123117.0,20.64663693884679,7.230706371012879,0.0,20.0,20.0,20.0,52.0
bwd_header_size_tot,123117.0,46.626899615812604,1028.2285728411912,0.0,20.0,20.0,20.0,323592.0
bwd_header_size_min,123117.0,17.69591526759099,7.9975769563647,0.0,20.0,20.0,20.0,40.0
bwd_header_size_max,123117.0,18.432677859272076,9.40632018230012,0.0,20.0,20.0,20.0,44.0
flow_FIN_flag_count,123117.0,0.11560548096526069,0.47501316403431637,0.0,0.0,0.0,0.0,10.0
flow_SYN_flag_count,123117.0,0.9508678736486431,0.4742620157641193,0.0,1.0,1.0,1.0,8.0
flow_RST_flag_count,123117.0,0.7964537797379728,0.43699806990991064,0.0,1.0,1.0,1.0,10.0
fwd_PSH_flag_count,123117.0,0.3513324723636866,3.951626949765703,0.0,0.0,0.0,0.0,864.0
bwd_PSH_flag_count,123117.0,0.3936336980270799,6.007442513951913,0.0,0.0,0.0,0.0,1446.0
flow_ACK_flag_count,123117.0,2.6777374367471594,41.65486835130952,0.0,1.0,1.0,1.0,11772.0
fwd_URG_flag_count,123117.0,0.016293444447151896,0.12660212597388076,0.0,0.0,0.0,0.0,1.0
bwd_URG_flag_count,123117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flow_CWR_flag_count,123117.0,0.0010071720396046039,0.04468893816752454,0.0,0.0,0.0,0.0,4.0
flow_ECE_flag_count,123117.0,0.0006985225435967413,0.03147137493517504,0.0,0.0,0.0,0.0,4.0
fwd_pkts_payload.min,123117.0,96.25607349106947,45.274995526034516,0.0,120.0,120.0,120.0,1097.0
